a	﻿một
abandon	từ bỏ
ability	có khả năng
able	có thể
abortion	sự phá thai
about	trong khoảng
above	ở trên
abroad	ở nước ngoài
absence	vắng mặt
absolute	tuyệt đối
absolutely	chắc chắn rồi
absorb	hấp thụ
abuse	sự lạm dụng
academic	học tập
accept	Chấp nhận
access	truy cập
accident	Tai nạn
accompany	đi cùng
accomplish	hoàn thành
according	theo
account	tài khoản
accurate	chính xác
accuse	cáo buộc
achieve	Hoàn thành
achievement	thành tích
acid	axit
acknowledge	công nhận
acquire	có được, thu được
across	băng qua
act	hành động
action	hoạt động
active	hoạt động
activist	nhà hoạt động
activity	Hoạt động
actor	diễn viên
actress	nữ diễn viên
actual	thực tế
actually	thực ra
ad	quảng cáo
adapt	phỏng theo
add	thêm vào
addition	thêm vào
additional	bổ sung
address	địa chỉ nhà
adequate	đầy đủ
adjust	điều chỉnh
adjustment	sự điều chỉnh
administration	quản trị
administrator	người quản lý
admire	ngưỡng mộ
admission	nhận vào
admit	thừa nhận
adolescent	thanh niên
adopt	chấp nhận
adult	người lớn
advance	nâng cao
advanced	nâng cao
advantage	lợi thế
adventure	cuộc phiêu lưu
advertising	quảng cáo
advice	khuyên bảo
advise	khuyên nhủ
adviser	cố vấn
advocate	biện hộ
affair	chuyện tình
affect	có ảnh hưởng đến
afford	mua được
afraid	sợ
african	Người châu phi
african-american	Người Mỹ gốc Phi
after	sau
afternoon	buổi chiều
again	lần nữa
against	chống lại
age	tuổi tác
agency	đại lý
agenda	chương trình làm việc
agent	đặc vụ
aggressive	xâm lược
ago	trước đây
agree	đồng ý
agreement	thỏa thuận
agricultural	nông nghiệp
ah	ah
ahead	phía trước
aid	viện trợ
aide	phụ tá
aids	AIDS
aim	mục đích
air	không khí
aircraft	phi cơ
airline	hãng hàng không
airport	sân bay
album	album
alcohol	rượu
alive	sống sót
all	tất cả các
alliance	liên minh
allow	cho phép
ally	đồng minh
almost	hầu hết
alone	một mình
along	dọc theo
already	đã
also	cũng thế
alter	thay đổi
alternative	thay thế
although	mặc dầu
always	luôn luôn
am	LÀ
amazing	kinh ngạc
american	Người Mỹ
among	trong số
amount	số tiền
analysis	phân tích
analyst	nhà phân tích
analyze	phân tích
ancient	xưa
and	và
anger	Sự phẫn nộ
angle	góc
angry	bực bội
animal	thú vật
anniversary	ngày kỷ niệm
announce	thông báo
annual	hàng năm
another	khác
answer	câu trả lời
anticipate	dự đoán trước
anxiety	sự lo ngại
any	bất kì
anybody	bất cứ ai
anymore	nữa không
anyone	bất kỳ ai
anything	bất cứ điều gì
anyway	dù sao
anywhere	bất cứ đâu
apart	ngoài
apartment	căn hộ, chung cư
apparent	rõ ràng
apparently	hình như
appeal	kháng nghị
appear	xuất hiện
appearance	xuất hiện
apple	táo
application	ứng dụng
apply	ứng dụng
appoint	bổ nhiệm
appointment	cuộc hẹn
appreciate	đánh giá
approach	tiếp cận
appropriate	thích hợp
approval	sự chấp thuận
approve	phê duyệt
approximately	xấp xỉ
arab	Ả rập
architect	kiến trúc sư
area	khu vực
argue	tranh luận
argument	tranh luận
arise	nảy sinh
arm	cánh tay
armed	vũ trang
army	quân đội
around	xung quanh
arrange	sắp xếp
arrangement	sắp xếp
arrest	bắt giữ
arrival	đến
arrive	đến
art	nghệ thuật
article	bài báo
artist	nghệ sĩ
artistic	nghệ thuật
as	như
asian	Châu Á
aside	qua một bên
ask	hỏi
asleep	ngủ
aspect	khía cạnh
assault	tấn công
assert	khẳng định
assess	đánh giá
assessment	thẩm định, lượng định, đánh giá
asset	tài sản
assign	chỉ định
assignment	bài tập
assist	hỗ trợ
assistance	hỗ trợ
assistant	phụ tá
associate	liên kết
association	sự kết hợp
assume	giả định
assumption	giả định
assure	cam đoan
at	tại
athlete	lực sĩ
athletic	Khỏe mạnh
atmosphere	không khí
attach	đính kèm
attack	tấn công
attempt	cố gắng
attend	tham gia
attention	chú ý
attitude	Thái độ
attorney	luật sư
attract	thu hút
attractive	hấp dẫn
attribute	thuộc tính
audience	thính giả
author	tác giả
authority	thẩm quyền
auto	Tự động
available	có sẵn
average	Trung bình cộng
avoid	tránh
award	giải thưởng
aware	ý thức
awareness	nhận thức
away	xa
awful	kinh khủng
baby	đứa bé
back	trở lại
background	lý lịch
bad	xấu
badly	tệ
bag	túi
bake	nướng
balance	cân đối
ball	trái bóng
ban	lệnh cấm
band	ban nhạc
bank	ngân hàng
bar	quán ba
barely	vừa đủ
barrel	thùng
barrier	rào chắn
base	căn cứ
baseball	bóng chày
basic	căn bản
basically	về cơ bản
basis	nền tảng
basket	cái rổ
basketball	bóng rổ
bathroom	phòng tắm
battery	ắc quy
battle	trận chiến
be	được
beach	bờ biển
bean	hạt đậu
bear	chịu
beat	tiết tấu
beautiful	đẹp
beauty	sắc đẹp, vẻ đẹp
because	bởi vì
become	trở nên
bed	Giường
bedroom	phòng ngủ
beer	bia
before	trước
begin	bắt đầu
beginning	bắt đầu
behavior	hành vi
behind	phía sau
being	đang được
belief	niềm tin
believe	tin
bell	chuông
belong	thuộc về
below	phía dưới
belt	thắt lưng
bench	Băng ghế
bend	bẻ cong
beneath	ở trên
benefit	lợi ích
beside	bên cạnh
besides	ngoài ra
best	tốt
bet	cá cược
better	tốt hơn
between	giữa
beyond	vượt ra ngoài
bible	Kinh thánh
big	to
bike	xe đạp
bill	hóa đơn
billion	tỷ
bind	trói buộc
biological	sinh học
bird	chim
birth	Sinh
birthday	sinh nhật
bit	bit
bite	vết cắn
black	đen
blade	lưỡi
blame	khiển trách
blanket	cái mền
blind	mù quáng
block	khối
blood	máu
blow	thổi
blue	màu xanh da trời
board	bảng
boat	thuyền
body	thân hình
bomb	bom
bombing	ném bom
bond	liên kết
bone	khúc xương
book	sách
boom	sự bùng nổ
boot	khởi động
border	biên giới
born	sinh ra
borrow	vay
boss	trùm
both	cả hai
bother	làm phiền
bottle	chai
bottom	đáy
boundary	ranh giới
bowl	bát
box	cái hộp
boy	con trai
boyfriend	bạn trai
brain	óc
branch	chi nhánh
brand	nhãn hiệu
bread	bánh mỳ
break	phá vỡ
breakfast	bữa ăn sáng
breast	nhũ hoa
breath	hơi thở
breathe	thở
brick	gạch
bridge	cầu
brief	tóm tắt
briefly	một thời gian ngắn
bright	sáng
brilliant	rực rỡ
bring	mang đến
british	người Anh
broad	rộng lớn
broken	bị hỏng
brother	em trai
brown	nâu
brush	chải
buck	buck
budget	ngân sách
build	xây dựng
building	Tòa nhà
bullet	đạn
bunch	bó
burden	gánh nặng
burn	đốt cháy
bury	chôn
bus	xe buýt
business	kinh doanh
busy	bận
but	nhưng
butter	bơ
button	nút
buy	mua
buyer	người mua
by	bởi
cabin	cabin
cabinet	buồng
cable	cáp
cake	bánh ngọt
calculate	tính toán
